from,to ,weight,year
PaPr,HaDr,,
PaPr,ToMe,,
PaPr,CaLo,,
PaPr,BrSt,,
PaPr,DarBe,,
PaPr,LoTu,,
PaPr,DaBe,,
PaPr,RoMo,,
PaPr,SaRy,,
PaPr,ErUm,,
PaPr,ErEy,,
PaPr,GeRy,,
PaPr,MaWa,,
PaPr,NiNe,,
PaPr,FrOb,,
PaPr,BaOb,,
PaPr,KeHa,,
PaPr,EBT,,
PaPr,SLT,,
PaPr,NYT,,
PaPr,DaFa,,
PaPr,ChCh,,
PaPr,PeNo,,
PaPr,HiAl,,
PaPr,ArCu,,
PaPr,JiMo,,
PaPr,JaWa,,
PaPr,PaC,,
PaPr,ST,,
PaPr,ErLi,,
PaPr,ZaMi,,
PaPr,RoKu,,
PaPr,ReKi,,
PaPr,FrSu,,
PaPr,CaLe,,
PaPr,DiMa,,
PaPr,LiFa,,
PaPr,MaMc,,
PaPr,KaKi,,
PaPr,AdZy,,
PaPr,StLPD,,
PaPr,JoKa,,
PaPr,MeTw,,
PaPr,RoFa,,
PaPr,PrDe,,
PaPr,WaPo,,
PaPr,ArRe,,
PaPr,UsTo,,
PaPr,CiEn,,
PaPr,ClBa,,
PaPr,AnMa,,
PaPr,MaMo,,
PaPr,RaKaGh,,
PaPr,JoAr,,
PaPr,JeSa,,
PaPr,AnDo,,
PaPr,JaHa,,
PaPr,MiSl,,
PaPr,RyKe,,
PaPr,AsPr,,
PaPr,LAT,,
PaPr,LLA,,
PaPr,AnCo,,
PaPr,MiBr,,
PaPr,TCM,,
PaPr,KeAr,,
PaPr,MiLa,,
PaPr,CaFi,,
PaPr,LiGa,,
PaPr,AJR,,
PaPr,KaSc,,
PaPr,FaSt,,
PaPr,EmNu,,
PaPr,JoHa,,
PaPr,BrGl,,
PaPr,JaOh,,
PaPr,MaLi,,
PaPr,SePo,,
PaPr,TyHi,,
PaPr,DaEt,,
PaPr,JeRi,,
PaPr,GU,,
PaPr,BG,,
PaPr,"ChHa
",,
PaPr,ElSa,,
PaPr,WiHo,,
PaPr,DaPh,,
PaPr,JaSz,,
PaPr,AnMa,,
PaPr,StHe,,
PaPr,InSa,,
PaPr,OR,,
PaPr,KeSi,,
PaPr,JosHa,,
DaBa,SuCr,,
DaBa,RuBu,,
DaBa,ABR,,
DaBa,WSJ,,
DaBa,MaMi,,
DaBa,Maal,,
DaBa,NaEl,,
DaBa,RE,,
DaBa,WaLo,,
DaBa,KySo,,
DaBa,HaDr,,
DaBa,ToMe,,
DaBa,CaLo,,
DaBa,BrSt,,
DaBa,DarBe,,
DaBa,LoTu,,
DaBa,DaBe,,
DaBa,RoMo,,
DaBa,SaRy,,
DaBa,ErUm,,
DaBa,ErEy,,
DaBa,GeRy,,
DaBa,MaWa,,
DaBa,NiNe,,
DaBa,FrOb,,
DaBa,BaOb,,
DaBa,KeHa,,
DaBa,EBT,,
DaBa,SLT,,
DaBa,NYT,,
DaBa,DaFa,,
DaBa,ChCh,,
DaBa,PeNo,,
DaBa,HiAl,,
DaBa,ArCu,,
DaBa,JiMo,,
DaBa,JaWa,,
DaBa,PaC,,
DaBa,ST,,
DaBa,ErLi,,
DaBa,ZaMi,,
DaBa,RoKu,,
DaBa,ReKi,,
DaBa,FrSu,,
DaBa,CaLe,,
DaBa,DiMa,,
DaBa,LiFa,,
DaBa,MaMc,,
DaBa,KaKi,,
DaBa,AdZy,,
DaBa,StLPD,,
DaBa,JoKa,,
DaBa,MeTw,,
DaBa,RoFa,,
DaBa,PrDe,,
DaBa,WaPo,,
DaBa,ArRe,,
DaBa,UsTo,,
DaBa,CiEn,,
DaBa,ClBa,,
DaBa,AnMa,,
DaBa,MaMo,,
DaBa,RaKaGh,,
DaBa,JoAr,,
DaBa,JeSa,,
DaBa,AnDo,,
DaBa,JaHa,,
DaBa,MiSl,,
DaBa,RyKe,,
DaBa,AsPr,,
DaBa,LAT,,
DaBa,LLA,,
DaBa,AnCo,,
DaBa,MiBr,,
DaBa,TCM,,
DaBa,KeAr,,
DaBa,MiLa,,
DaBa,CaFi,,
DaBa,LiGa,,
DaBa,AJR,,
DaBa,KaSc,,
DaBa,FaSt,,
DaBa,EmNu,,
DaBa,JoHa,,
DaBa,BrGl,,
DaBa,JaOh,,
DaBa,MaLi,,
DaBa,SePo,,
DaBa,TyHi,,
DaBa,DaEt,,
DaBa,JeRi,,
DaBa,GU,,
DaBa,BG,,
DaBa,"ChHa
",,
DaBa,ElSa,,
DaBa,WiHo,,
DaBa,DaPh,,
DaBa,JaSz,,
DaBa,AnMa,,
DaBa,StHe,,
DaBa,InSa,,
DaBa,OR,,
DaBa,KeSi,,
DaBa,JosHa,,
SuCr,RuBu,,
SuCr,ABR,,
SuCr,WSJ,,
SuCr,MaMi,,
SuCr,Maal,,
SuCr,NaEl,,
SuCr,RE,,
SuCr,WaLo,,
